query_product,query_leaf_category,precision@5,recall,average_precision
NEWGEN TECH EO-HS3303 64 Wired Headset,eo hs3303 64 wired headset white,1.0,0.1724137931034483,1.0
Times 327TMS327 Party-Wedding Analog Watch  - For Women,wrist watches,1.0,0.013123359580052493,1.0
Collectible India Showpiece  -  19 cm,showpiece 19 cm brass mu,1.0,0.006711409395973154,1.0
Teemoods Women's Solid Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Comex Acheiver-Pluto Football Shoes,acheiver pluto football shoes,1.0,0.0049504950495049506,1.0
ShellysTrends Planters Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
Herberto Girl's High Low Dress,dresses,1.0,0.013966480446927373,1.0
Reebok Printed Women's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Wallmantra Medium Vinyl Stickers Sticker,stickers,1.0,0.03164556962025317,1.0
Reebok Casual Cap,caps,1.0,0.2777777777777778,1.0
Butterflies Hand-held Bag,hand held bag mustard,1.0,0.024390243902439025,1.0
Unique Design Marble Pillar Watch Showpiece  -  15 cm,ethnic,1.0,0.038461538461538464,1.0
Asus Wireless-N150 ADSL Modem Router,routers,1.0,0.032679738562091505,1.0
Tootpado Art Plastic Punches & Punching Machines,punches punching machines,1.0,0.2,1.0
Gamma 78 Green Dot Tennis Ball -   Size: 3,tennis balls,1.0,0.037037037037037035,1.0
Speedwav 220179 Bike Handle Grip For TVS Apache,220179 bike handle grip tvs apache,1.0,0.006082725060827251,1.0
Riya Gold Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
esoft Casual Short Sleeve Solid Women's Top,casual short sleeve solid women,1.0,0.0010113268608414239,1.0
Bosch 2 608 521 043 Screwdriver Bit Set,screwdriver bit sets,1.0,0.7142857142857143,1.0
Modo Vivendi Casual Short Sleeve Solid Women's Top,tops,1.0,0.015015015015015015,1.0
Itsmuahlife by ItsMuahLife - Dazzle Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Jacadi Paris Baby Girl's Gathered Multicolor Dress,baby girl gathered multicolor dress,1.0,0.012953367875647668,1.0
ShopSince Plain Single Electric Blanket Multicolour,blankets quilts dohars,1.0,0.03424657534246575,1.0
